Actual,Predicted
204847974.5,204847974.50000006
338412994.0,338412993.9999998
221096229.5,221096229.50000006
258297652.0,258297651.99999997
367319467.5,367319467.49999976
191812990.5,191812990.5000001
351264506.5,351264506.4999998
133243577.5,133243577.50000024
209803409.5,209803409.50000006
448334767.0,448334766.99999964
319105178.5,319105178.4999999
394917031.5,394917031.49999976
29985391.0,29985391.000000417
335316968.5,335316968.4999999
236060223.5,236060223.5
389929356.5,389929356.49999976
425408857.0,425408856.99999964
327545939.5,327545939.4999999
273864080.0,273864079.99999994
202989398.0,202989398.0000001
184508495.0,184508495.00000012
351525724.5,351525724.4999998
144563019.0,144563019.00000018
165222975.5,165222975.50000015
400677786.0,400677785.9999997
293870050.5,293870050.49999994
156677831.5,156677831.50000018
80254977.0,80254977.00000033
310497817.0,310497816.9999999
133302035.5,133302035.50000022
63166148.5,63166148.50000036
386935299.0,386935298.99999976
249867774.0,249867774.0
208818306.0,208818306.00000006
136552372.0,136552372.0000002
173028945.0,173028945.00000012
430454406.0,430454405.99999964
418357114.0,418357113.99999964
382350480.0,382350479.99999976
242639615.5,242639615.5
451464112.0,451464111.99999964
60795562.0,60795562.00000033
101601101.0,101601101.00000027
280965749.0,280965748.99999994
240492840.5,240492840.5
247175768.0,247175768.0
354559817.5,354559817.4999998
150502520.5,150502520.50000018
101195311.0,101195311.00000039
168172962.0,168172962.00000012
363638856.5,363638856.4999998
242530489.5,242530489.50000003
28389505.0,28389505.000000387
423974492.5,423974492.49999964
121590650.5,121590650.50000021
453170142.0,453170141.99999964
415640406.5,415640406.4999997
177214909.0,177214909.00000012
226477758.5,226477758.50000003
458735930.5,458735930.49999964
441253576.5,441253576.49999964
266355407.0,266355406.99999997
183788869.0,183788869.00000012
260278299.5,260278299.49999997
68518439.5,68518439.50000033
171600343.0,171600343.00000018
158685547.5,158685547.50000018
152807601.5,152807601.50000018
278810509.0,278810508.99999994
118306534.5,118306534.50000022
205606622.0,205606622.0000001
402591372.0,402591371.99999976
404245442.0,404245441.9999997
440389661.5,440389661.49999964
334191632.0,334191631.9999999
115013722.5,115013722.50000024
232312949.5,232312949.50000003
428721765.0,428721764.99999964
339919779.0,339919778.9999998
172705275.0,172705275.00000012
432861866.0,432861865.99999964
442074798.0,442074797.99999964
227737139.5,227737139.50000006
392856029.5,392856029.49999976
234442209.0,234442209.00000003
156921075.0,156921075.00000018
101372052.0,101372052.00000027
70007255.0,70007255.0000003
403077018.0,403077017.99999976
268420018.0,268420017.99999997
40197979.0,40197979.00000039
382423228.0,382423227.99999976
440837081.0,440837080.99999964
254109635.0,254109635.0
435862286.5,435862286.49999964
158980859.0,158980859.00000018
73286206.0,73286206.00000033
274418885.0,274418884.99999994
359550663.0,359550662.99999976
305950986.5,305950986.4999999
272481900.0,272481899.99999994
87354848.5,87354848.5000003
232025749.0,232025749.00000003
445201313.0,445201312.99999964
133391620.0,133391620.00000021
232097944.5,232097944.50000003
366946874.5,366946874.49999976
309397451.0,309397450.9999999
86766933.0,86766933.0000003
54211021.0,54211021.00000036
273476471.0,273476470.99999994
218879839.0,218879839.00000006
144596943.5,144596943.5000002
437713489.5,437713489.49999964
147563447.5,147563447.50000018
380484919.5,380484919.49999976
269734129.0,269734128.99999994
262533699.0,262533698.99999997
154117982.0,154117982.00000018
231666666.5,231666666.50000003
344914935.5,344914935.4999999
313352015.0,313352014.9999999
442830225.0,442830224.99999964
39308129.5,39308129.50000039
48024127.5,48024127.50000036
82007238.0,82007238.0000003
363544188.0,363544187.99999976
362311944.0,362311943.9999998
137883732.0,137883732.0000002
411883492.5,411883492.49999964
359485071.5,359485071.49999976
376304841.5,376304841.49999976
158153675.0,158153675.00000018
230691385.0,230691385.00000003
92593304.5,92593304.5000003
171135322.5,171135322.50000012
199956871.0,199956871.0000002
205410910.0,205410910.00000006
226222835.5,226222835.50000006
269227757.5,269227757.49999994
45898617.0,45898617.00000036
129454270.0,129454270.0000002
118336723.5,118336723.50000022
220182371.5,220182371.50000003
345635592.5,345635592.4999999
91246907.0,91246907.0000003
303442821.5,303442821.4999999
123613447.0,123613447.00000022
60540106.0,60540106.00000036
434351648.5,434351648.49999964
268747639.0,268747638.99999994
133674947.0,133674947.00000024
275744657.0,275744656.99999994
100825481.5,100825481.50000027
217839498.5,217839498.50000006
197761321.5,197761321.5000001
443893273.0,443893272.99999964
190956051.5,190956051.50000012
306484711.5,306484711.4999999
50032832.5,50032832.50000036
448521652.5,448521652.49999964
358778471.0,358778470.9999998
47869818.0,47869818.00000039
91821173.0,91821173.0000003
271028985.0,271028984.99999994
60790386.0,60790386.00000036
67008847.5,67008847.50000033
209830556.5,209830556.50000006
167424989.5,167424989.50000012
429035388.5,429035388.49999964
240698983.5,240698983.5
55797735.5,55797735.50000036
341157476.0,341157475.9999998
455821874.5,455821874.49999964
309199313.0,309199312.99999994
366587834.5,366587834.49999976
255207402.0,255207402.0
414215639.0,414215638.9999997
196270922.5,196270922.5000001
164082318.0,164082318.00000012
380170283.5,380170283.49999976
360953366.0,360953365.99999976
40353007.5,40353007.50000036
371560931.5,371560931.49999976
290858657.0,290858656.99999994
341934959.5,341934959.4999998
290331067.5,290331067.49999994
280052290.0,280052289.99999994
164225469.5,164225469.50000018
269265932.5,269265932.5
413935363.5,413935363.4999997
114471757.5,114471757.50000024
117654845.0,117654845.00000022
120119578.0,120119578.00000022
105314878.5,105314878.50000027
132930540.0,132930540.0000002
450102969.0,450102968.99999964
344157684.0,344157683.9999998
210375202.0,210375202.00000006
120479639.0,120479639.00000025
169738924.5,169738924.50000012
